"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2023","50.73","51.27","51.27","50.53","3.17M","-0.19%"
"09/18/2023","50.82","49.79","51.07","48.85","5.55M","1.78%"
"09/15/2023","49.93","49.79","50.43","49.24","4.01M","0.50%"
"09/14/2023","49.69","49.69","49.98","49.34","3.12M","0.10%"
"09/13/2023","49.64","49.59","50.38","49.29","3.81M","0.20%"
"09/12/2023","49.54","48.75","49.93","48.50","4.46M","1.42%"
"09/11/2023","48.85","49.14","49.14","48.20","6.57M","-0.60%"
"09/07/2023","49.14","49.49","49.69","48.95","4.14M","-1.49%"
"09/06/2023","49.88","49.93","50.03","49.49","3.89M","-0.49%"
"09/05/2023","50.13","51.07","51.07","49.64","7.10M","-1.84%"
"09/04/2023","51.07","52.31","52.41","50.73","8.77M","-0.48%"
"08/31/2023","51.32","51.52","51.52","50.73","7.48M","0.39%"
"08/30/2023","51.12","50.68","51.52","50.68","6.07M","1.27%"
"08/29/2023","50.48","50.43","50.97","50.03","5.88M","1.69%"
"08/28/2023","49.64","50.77","50.92","49.64","3.19M","0.60%"
"08/25/2023","49.34","49.44","49.84","49.24","4.61M","-1.87%"
"08/24/2023","50.28","49.74","50.43","49.34","5.21M","2.31%"
"08/23/2023","49.14","50.77","50.77","48.95","6.03M","-2.45%"
"08/22/2023","50.38","49.14","50.53","48.90","12.32M","2.93%"
"08/21/2023","48.95","49.93","50.23","48.06","11.18M","-2.46%"
"08/18/2023","50.18","51.12","51.52","50.03","11.62M","-3.33%"
"08/17/2023","51.91","51.42","52.41","50.92","8.61M","-0.38%"
"08/16/2023","52.11","52.11","52.41","51.91","6.22M","-1.31%"
"08/15/2023","52.80","53.30","53.39","52.46","6.63M","-1.11%"
"08/14/2023","53.39","53.15","53.49","52.55","5.52M","-1.01%"
"08/11/2023","53.94","54.33","54.88","53.74","5.94M","-1.89%"
"08/10/2023","54.98","54.04","55.13","53.64","4.64M","1.74%"
"08/09/2023","54.04","54.38","54.48","53.69","5.49M","-0.64%"
"08/08/2023","54.38","54.98","55.27","54.38","6.67M","-1.17%"
"08/07/2023","55.03","53.94","55.17","53.59","4.83M","1.00%"
"08/04/2023","54.48","55.42","55.97","54.33","4.38M","-0.63%"
"08/03/2023","54.83","54.19","55.37","53.69","4.39M","1.00%"
"08/02/2023","54.28","55.37","55.47","53.94","5.96M","-1.96%"
